NAME,ADDRESS,CITY,STATE,ZIPCODE,LAT,LONG,STARS,REVIEW_COUNT,IS_OPEN,ACCEPTS_CREDITCARD,PRICE_RANGE,ALCOHOL,WIFI,DOGS_ALLOWED,WHEELCHAIR_ACCESS,APPOINTMENT_ONLY,CATEGORIES,CATEGORY1,TYPE,CATEGORY2,CATEGORY3,CATEGORY4,CATEGORY5,CATEGORY6,CATEGORY7,CATEGORY8,CATEGORY9,CATEGORY10,CATEGORY11,CATEGORY12,CATEGORY13,CATEGORY14,CATEGORY15,CATEGORY16,,,,,,,,
The Diamond Group Home Inspections,,Pittsburgh,PA,15222,40.4475255,-79.9933976,5,3,1,TRUE,,,,,,,"Home Inspectors, Home Services",Home Inspectors,, Home Services,,,,,,,,,,,,,,,,,,,,,,
Commonwealth Press,1931 E Carson St,Pittsburgh,PA,15203,40.4288805,-79.9777854,4.5,15,1,TRUE,,,,,,,"Local Services, Screen Printing",Local Services,, Screen Printing,,,,,,,,,,,,,,,,,,,,,,
iCracked iPhone Repair,,Pittsburgh,PA,15203,40.4293034,-79.9724245,4.5,7,1,TRUE,,,,,,,"IT Services & Computer Repair, Local Services, Electronics Repair, Mobile Phone Repair",IT Services ,, Computer Repair, Local Services, Electronics Repair, Mobile Phone Repair,,,,,,,,,,,,,,,,,,,
Banfield Pet Hospital,523 Clairton Blvd,Pleasant Hills,PA,15236,40.33333917,-79.94424636,3,7,1,,,,,,,,"Pets, Veterinarians",Pets,, Veterinarians,,,,,,,,,,,,,,,,,,,,,,
Cvs Pharmacy,4725 Centre Ave,Pittsburgh,PA,15213,40.4533081,-79.9490476,2.5,3,0,TRUE,3,,,,,,"Drugstores, Shopping",Drugstores,, Shopping,,,,,,,,,,,,,,,,,,,,,,
Wizard World Comic Con Pittsburgh,1000 Fort Duquesne Blvd,Pittsburgh,PA,15222,40.446578,-79.99496,2,4,1,,,,,,,,"Festivals, Arts & Entertainment",Festivals,, Arts , Entertainment,,,,,,,,,,,,,,,,,,,,,
Pittsburgh Poke,500 Liberty Ave,Pittsburgh,PA,15222,40.4413212,-80.0035143,4.5,94,1,TRUE,2,none,no,,,,"Sushi Bars, Food, Thai, Poke, Japanese, Restaurants",Sushi Bars,, Food, Thai, Poke, Japanese, Restaurants,,,,,,,,,,,,,,,,,,
Schenley Park Visitors Center,101 Panther Hollow Rd,Pittsburgh,PA,15213,40.43754064,-79.94888306,5,12,1,TRUE,,,,,TRUE,,"Cafes, Hotels & Travel, Swimming Pools, Travel Services, Hiking, Playgrounds, Local Services, Skating Rinks, Beaches, Visitor Centers, Restaurants, Tennis, Community Service/Non-Profit, Parks, Active Life",Cafes,, Hotels , Travel, Swimming Pools, Travel Services, Hiking, Playgrounds, Local Services, Skating Rinks, Beaches, Visitor Centers, Restaurants, Tennis, Community Service/Non-Profit, Parks, Active Life,,,,,,,,
Vocelli Pizza,2011 Waverly Ave,Swissvale,PA,15218,40.4219149,-79.8863458,2.5,10,1,TRUE,1,none,,,,,"Pizza, Restaurants",Pizza,, Restaurants,,,,,,,,,,,,,,,,,,,,,,
Crazy Mocha,1836 Centre Ave,Pittsburgh,PA,15219,40.4425968,-79.9822921,5,3,1,,,,,,,,"Food, Cafes, Coffee & Tea, Restaurants",Food,, Cafes, Coffee , Tea, Restaurants,,,,,,,,,,,,,,,,,,,
Fitness 19 Pittsburgh,1900 Greentree Rd,Pittsburgh,PA,15220,40.39509507,-80.06703889,3,12,1,TRUE,,,,,TRUE,FALSE,"Gyms, Fitness & Instruction, Trainers, Active Life",Gyms,, Fitness , Instruction, Trainers, Active Life,,,,,,,,,,,,,,,,,,,
Banfield Pet Hospital,3739 William Penn Hwy,Monroeville,PA,15146,40.43654022,-79.78730961,3,9,1,,,,,,,,"Pets, Veterinarians",Pets,, Veterinarians,,,,,,,,,,,,,,,,,,,,,,
"Dave Simmons, DC",5850 Ellsworth Ave,Pittsburgh,PA,15232,40.45676828,-79.92914609,4.5,3,1,TRUE,,,,,,TRUE,"Health & Medical, Chiropractors, Doctors, Physical Therapy, Sports Medicine",Health ,, Medical, Chiropractors, Doctors, Physical Therapy, Sports Medicine,,,,,,,,,,,,,,,,,,
Heavenly Hookah Lounge,11883 Perry Hwy,Wexford,PA,15090,40.6301302,-80.0571186,3.5,6,0,TRUE,2,none,,,,,"Lounges, Nightlife, Hookah Bars, Bars",Lounges,, Nightlife, Hookah Bars, Bars,,,,,,,,,,,,,,,,,,,,
Fitness 19 Pittsburgh,3380 Mcintyre Square Dr,Pittsburgh,PA,15237,40.554325,-80.015963,2,12,1,TRUE,,,,,,,"Active Life, Fitness & Instruction, Gyms, Boot Camps, Trainers",Active Life,, Fitness , Instruction, Gyms, Boot Camps, Trainers,,,,,,,,,,,,,,,,,,
Affordable Lawn Care,1827 Walnut St,Heidelberg,PA,15106,40.389665,-80.089434,1,4,1,,,,,,,,"Landscaping, Home Services",Landscaping,, Home Services,,,,,,,,,,,,,,,,,,,,,,
The Commoner Corner,458 Strawberry Way,Pittsburgh,PA,15219,40.4415434,-79.9961395,3.5,13,0,TRUE,2,full_bar,free,,,,"Breakfast & Brunch, Restaurants",Breakfast ,, Brunch, Restaurants,,,,,,,,,,,,,,,,,,,,,
McGuinn's Barber Shop,2140 Murray Ave,Pittsburgh,PA,15217,40.4325553,-79.9232757,5,12,1,FALSE,1,,,,FALSE,FALSE,"Hair Removal, Men's Hair Salons, Hair Salons, Hair Stylists, Barbers, Beauty & Spas",Hair Removal,, Men's Hair Salons, Hair Salons, Hair Stylists, Barbers, Beauty , Spas,,,,,,,,,,,,,,,,,
Rita's Italian Ice,5880 Forbes Ave,Pittsburgh,PA,15217,40.4378416,-79.9197512,4.5,35,1,TRUE,1,,no,,TRUE,,"Desserts, Food, Shaved Ice, Ice Cream & Frozen Yogurt",Desserts,, Food, Shaved Ice, Ice Cream , Frozen Yogurt,,,,,,,,,,,,,,,,,,,
Arby's,3200 Saw Mill Run Blvd,Pittsburgh,PA,15227,40.3764422,-79.9841149,3,3,0,TRUE,1,none,,,,,"Restaurants, Fast Food",Restaurants,, Fast Food,,,,,,,,,,,,,,,,,,,,,,
Cole's Pub,527 US 30,Imperial,PA,15126,40.4514328,-80.25183677,4,35,1,TRUE,1,,free,,,,"American (Traditional), Bars, Restaurants, Nightlife",American (Traditional),, Bars, Restaurants, Nightlife,,,,,,,,,,,,,,,,,,,,
BP Gas Station,4006 Liberty Ave,Pittsburgh,PA,15224,40.46263,-79.95693,1.5,3,1,TRUE,,,,,,,"Gas Stations, Automotive",Gas Stations,, Automotive,,,,,,,,,,,,,,,,,,,,,,
Chelse's Greenhouse,5020 William Penn Hwy,Murrysville,PA,15632,40.41840684,-79.64999679,4,3,1,TRUE,2,,,,,,"Home & Garden, Gardeners, Nurseries & Gardening, Local Services, Home Services, Propane, Shopping",Home ,, Garden, Gardeners, Nurseries , Gardening, Local Services, Home Services, Propane, Shopping,,,,,,,,,,,,,,,
Pizza Marsala,10729 State Rt 30,Irwin,PA,15642,40.3201378,-79.6845419,4,12,1,TRUE,1,none,free,,TRUE,,"Pizza, Restaurants, Italian",Pizza,, Restaurants, Italian,,,,,,,,,,,,,,,,,,,,,
Timeout Pizza Pub & Grub,775 Freeport Rd,Cheswick,PA,15024,40.541278,-79.818972,2,5,0,TRUE,2,full_bar,no,,,,"Pizza, Restaurants, Barbeque",Pizza,, Restaurants, Barbeque,,,,,,,,,,,,,,,,,,,,,
Tad's On East Carson,1109 E Carson St,Pittsburgh,PA,15203,40.4288994,-79.986997,3,4,1,TRUE,4,,,,,,"Bars, Nightlife, Dive Bars",Bars,, Nightlife, Dive Bars,,,,,,,,,,,,,,,,,,,,,
National Armory,1300 Brodhead Rd,Moon Twp,PA,15108,40.53500105,-80.22913501,4,4,1,TRUE,3,,,FALSE,TRUE,,"Outdoor Gear, Education, Sporting Goods, Firearm Training, Guns & Ammo, Specialty Schools, Shopping",Outdoor Gear,, Education, Sporting Goods, Firearm Training, Guns , Ammo, Specialty Schools, Shopping,,,,,,,,,,,,,,,,
Lexus of North Hills,15025 Perry Hwy,Wexford,PA,15090,40.6477104,-80.0762659,4.5,11,1,TRUE,,,,,,,"Car Dealers, Auto Repair, Automotive",Car Dealers,, Auto Repair, Automotive,,,,,,,,,,,,,,,,,,,,,
The LASIK Vision Institute,"9000 Brooktree Rd, Ste 110",Wexford,PA,15090,40.6137545,-80.0584256,4,13,1,TRUE,,,,,,TRUE,"Ophthalmologists, Laser Eye Surgery/Lasik, Doctors, Optometrists, Health & Medical",Ophthalmologists,, Laser Eye Surgery/Lasik, Doctors, Optometrists, Health , Medical,,,,,,,,,,,,,,,,,,
Dots and Doodles,10925 Perry Hwy,Wexford,PA,15090,40.6172685,-80.0567122,4,5,1,,,,,,,,Arts & Entertainment,Arts ,, Entertainment,,,,,,,,,,,,,,,,,,,,,,
Point State Park Fountain,,Pittsburgh,PA,15222,40.4418551,-80.01258727,5,40,1,,,,,,,,"Public Services & Government, Landmarks & Historical Buildings, Local Flavor",Public Services ,, Government, Landmarks , Historical Buildings, Local Flavor,,,,,,,,,,,,,,,,,,,
Go Pretzel,807 Liberty Ave,Pittsburgh,PA,15222,40.4426692,-79.998918,3.5,13,0,TRUE,1,none,,,,,"Fast Food, Restaurants",Fast Food,, Restaurants,,,,,,,,,,,,,,,,,,,,,,
The Priory Hotel,614 Pressley St,Pittsburgh,PA,15212,40.4522796,-79.9981513,4,56,1,TRUE,2,,free,,,,"Hotels & Travel, Bed & Breakfast, Event Planning & Services, Hotels",Hotels ,, Travel, Bed , Breakfast, Event Planning , Services, Hotels,,,,,,,,,,,,,,,,,
Steel Cactus,115 Federal St,Pittsburgh,PA,15212,40.44758122,-80.00436023,2.5,65,1,TRUE,2,,free,,,,"Mexican, Tex-Mex, Restaurants, Beer Bar, Bars, Nightlife",Mexican,, Tex-Mex, Restaurants, Beer Bar, Bars, Nightlife,,,,,,,,,,,,,,,,,,
AVA Bar & Lounge,126 S Highland Ave,Pittsburgh,PA,15206,40.4603426,-79.9250006,4,10,0,TRUE,1,full_bar,,FALSE,,,"Bars, Music Venues, Arts & Entertainment, Lounges, Nightlife, Cocktail Bars",Bars,, Music Venues, Arts , Entertainment, Lounges, Nightlife, Cocktail Bars,,,,,,,,,,,,,,,,,
Crazy Cones of Millvale,624 N Ave,Millvale,PA,15209,40.48625,-79.973072,4.5,5,1,FALSE,1,,no,TRUE,TRUE,,"Food, Ice Cream & Frozen Yogurt",Food,, Ice Cream , Frozen Yogurt,,,,,,,,,,,,,,,,,,,,,
Heinz Chapel,4200 Fifth Ave,Pittsburgh,PA,15213,40.4442708,-79.9532909,5,4,1,TRUE,2,none,,,,,"Event Planning & Services, Nightlife, Religious Organizations, Churches, Venues & Event Spaces, Arts & Entertainment, Music Venues",Event Planning ,, Services, Nightlife, Religious Organizations, Churches, Venues , Event Spaces, Arts , Entertainment, Music Venues,,,,,,,,,,,,,,
PNC Bank,4301 Murray Ave,Pittsburgh,PA,15217,40.42182565,-79.92860019,4,3,1,,,,,,,,"Home Services, Banks & Credit Unions, Real Estate, Investing, Financial Services, Mortgage Brokers",Home Services,, Banks , Credit Unions, Real Estate, Investing, Financial Services, Mortgage Brokers,,,,,,,,,,,,,,,,,
Robert Wholey and Co Fish Market,1711 Penn Ave,Pittsburgh,PA,15222,40.450111,-79.9858749,4,210,1,TRUE,2,none,no,FALSE,TRUE,FALSE,"Meat Shops, Seafood, Grocery, Specialty Food, Seafood Markets, Food, Restaurants",Meat Shops,, Seafood, Grocery, Specialty Food, Seafood Markets, Food, Restaurants,,,,,,,,,,,,,,,,,
Coldwell Banker Real Estate Services,5887 Forbes Ave,Pittsburgh,PA,15217,40.4382747,-79.9198168,4.5,7,1,TRUE,,,,,,TRUE,"Real Estate Services, Home Services, Real Estate",Real Estate Services,, Home Services, Real Estate,,,,,,,,,,,,,,,,,,,,,
Bull River Taco,1707 Murray Ave,Pittsburgh,PA,15217,40.4377293,-79.9227349,3.5,60,1,TRUE,1,none,no,,,,"Tacos, Mexican, Restaurants",Tacos,, Mexican, Restaurants,,,,,,,,,,,,,,,,,,,,,
Paw's In the Family Pet Grooming,3804 Main St,Homestead,PA,15120,40.383605,-79.9044137,3.5,3,1,,,,,,,,"Pet Sitting, Pet Services, Pets",Pet Sitting,, Pet Services, Pets,,,,,,,,,,,,,,,,,,,,,
Xtnd Case,1013 E Carson St,Pittsburgh,PA,15203,40.4288935,-79.9879698,1,9,1,TRUE,4,,,,,,"Shopping, Electronics",Shopping,, Electronics,,,,,,,,,,,,,,,,,,,,,,
Union Orthotics & Prosthetics,3424 Liberty Ave,Pittsburgh,PA,15201,40.4614336,-79.9648853,3.5,4,1,TRUE,,,,,,TRUE,"Orthotics, Prosthetics, Doctors, Health & Medical, Pediatricians",Orthotics,, Prosthetics, Doctors, Health , Medical, Pediatricians,,,,,,,,,,,,,,,,,,
Frank Schrim Auto Body,515 Perry Hwy,Pittsburgh,PA,15229,40.5220627,-80.0343204,3.5,3,1,,,,,,,,"Body Shops, Automotive",Body Shops,, Automotive,,,,,,,,,,,,,,,,,,,,,,
Kolor-N-Kiln,100 Robinson Center Dr,Pittsburgh,PA,15205,40.45436523,-80.1572587,4,4,1,TRUE,2,,,,,,"Education, Art Classes, Arts & Crafts, Shopping, Arts & Entertainment",Education,, Art Classes, Arts , Crafts, Shopping, Arts , Entertainment,,,,,,,,,,,,,,,,,
DiBella's Subs,6501 Steubenville Pike,Pittsburgh,PA,15205,40.447998,-80.15871629,4,31,1,TRUE,1,none,free,,,,"Sandwiches, Delis, Restaurants, Salad",Sandwiches,, Delis, Restaurants, Salad,,,,,,,,,,,,,,,,,,,,
Union Standard,524 William Penn Pl,Pittsburgh,PA,15219,40.4404227,-79.9972048,4,117,1,TRUE,3,full_bar,free,FALSE,TRUE,,"Seafood, Cocktail Bars, Nightlife, Restaurants, Bars, American (New)",Seafood,, Cocktail Bars, Nightlife, Restaurants, Bars, American (New),,,,,,,,,,,,,,,,,,
Best Buy,200 Mall Circle Dr,Monroeville,PA,15146,40.4289429,-79.7953303,2.5,19,1,TRUE,3,,,,TRUE,,"Home & Garden, Shopping, Appliances & Repair, Electronics, Computers, IT Services & Computer Repair, Appliances, Local Services",Home ,, Garden, Shopping, Appliances , Repair, Electronics, Computers, IT Services , Computer Repair, Appliances, Local Services,,,,,,,,,,,,,
DoubleTree By Hilton Hotel Pittsburgh - Monroeville,101 Mall Blvd,Monroeville,PA,15146,40.431988,-79.7936134,3,37,1,TRUE,2,,free,,,,"Event Planning & Services, Hotels, Hotels & Travel",Event Planning ,, Services, Hotels, Hotels , Travel,,,,,,,,,,,,,,,,,,,
Pizzarita,580 Burchfield Rd,Allison Park,PA,15101,40.5445287,-79.9628682,3,10,1,TRUE,1,none,free,FALSE,TRUE,,"Restaurants, Pizza",Restaurants,, Pizza,,,,,,,,,,,,,,,,,,,,,,
Smoq Pitt,600 Brookline Blvd,Pittsburgh,PA,15226,40.3951787,-80.0225039,3.5,85,0,TRUE,2,none,free,,TRUE,,"Barbeque, Restaurants",Barbeque,, Restaurants,,,,,,,,,,,,,,,,,,,,,,
Sirena Taco Joint & Bar,"3909 Washington Rd, Ste 201",McMurray,PA,15317,40.27116,-80.125909,3,65,0,TRUE,2,full_bar,free,FALSE,TRUE,,"Mexican, Latin American, Spanish, Restaurants, Nightlife, Bars",Mexican,, Latin American, Spanish, Restaurants, Nightlife, Bars,,,,,,,,,,,,,,,,,,
Poremski Stephen R Plumbing,3480 Myrna Dr,Pittsburgh,PA,15241,40.316787,-80.0694916,4.5,3,1,,,,,,,,"Home Services, Plumbing",Home Services,, Plumbing,,,,,,,,,,,,,,,,,,,,,,
Broniak & Kraf Florist & Greenhouse,3205 Washington Pike,Bridgeville,PA,15017,40.3428688,-80.1169577,5,4,1,TRUE,1,,,,,,"Shopping, Florists, Flowers & Gifts",Shopping,, Florists, Flowers , Gifts,,,,,,,,,,,,,,,,,,,,
Outback Steakhouse,3000 Mosside Blvd,Monroeville,PA,15146,40.4383875,-79.7593976,3,68,1,TRUE,2,full_bar,free,,TRUE,,"Restaurants, Steakhouses",Restaurants,, Steakhouses,,,,,,,,,,,,,,,,,,,,,,
La Nova Pizzeria,835 Pittsburgh St,Springdale,PA,15144,40.5414597,-79.778639,4,18,1,TRUE,2,,no,,,,"Pizza, Restaurants",Pizza,, Restaurants,,,,,,,,,,,,,,,,,,,,,,
Primo Custom Tailoring,1118 Freeport Rd,Pittsburgh,PA,15238,40.4875647,-79.8812642,2,4,1,,,,,,,,"Sewing & Alterations, Local Services",Sewing ,, Alterations, Local Services,,,,,,,,,,,,,,,,,,,,,
Phantom of the Attic - Oakland,"411 S Craig St, Second Floor",Pittsburgh,PA,15213,40.4448788,-79.9484106,5,20,1,TRUE,2,,,,FALSE,,"Shopping, Comic Books, Hobby Shops, Books, Mags, Music & Video, Tabletop Games",Shopping,, Comic Books, Hobby Shops, Books, Mags, Music , Video, Tabletop Games,,,,,,,,,,,,,,,,
Goodwill Outlet Store,294 Lincoln Hwy,North Versailles,PA,15137,40.38576,-79.826927,3,8,1,TRUE,1,,,,,,"Food, Shopping, Convenience Stores, Thrift Stores",Food,, Shopping, Convenience Stores, Thrift Stores,,,,,,,,,,,,,,,,,,,,
Rue 21,3800 Forbes Ave,Oakland,PA,15213,40.4415388,-79.9564405,3.5,3,1,TRUE,1,,,,,,"Fashion, Shopping",Fashion,, Shopping,,,,,,,,,,,,,,,,,,,,,,
Super Nails,739 1/2 Allegheny River Blvd,Verona,PA,15147,40.50582,-79.842708,3,4,1,TRUE,2,,,,,,"Beauty & Spas, Nail Salons",Beauty ,, Spas, Nail Salons,,,,,,,,,,,,,,,,,,,,,
Saks OFF 5TH,8029 McKnight Rd,Pittsburgh,PA,15237,40.551127,-80.021018,4.5,3,1,TRUE,3,,,,,,"Shopping, Fashion, Men's Clothing, Outlet Stores, Women's Clothing, Accessories",Shopping,, Fashion, Men's Clothing, Outlet Stores, Women's Clothing, Accessories,,,,,,,,,,,,,,,,,,
Shop'n Save,4647 Buttermilk Hollow Rd,West Mifflin,PA,15122,40.3610158,-79.9065526,2,4,1,TRUE,2,,,,,,"Grocery, Food",Grocery,, Food,,,,,,,,,,,,,,,,,,,,,,
Sunoco Aplus,9299 State Route 30,Irwin,PA,15642,40.3201378,-79.6845419,3.5,3,1,TRUE,,,,,,,"Gas Stations, Automotive",Gas Stations,, Automotive,,,,,,,,,,,,,,,,,,,,,,
Walnut Grove,1141 Freeport Rd,Pittsburgh,PA,15238,40.4884107,-79.8809619,3,17,0,,2,full_bar,paid,,,,"Restaurants, American (New)",Restaurants,, American (New),,,,,,,,,,,,,,,,,,,,,,
Il Mercato,2349 Railroad St,Pittsburgh,PA,15222,40.4543526,-79.9828179,3.5,3,0,TRUE,2,,,,TRUE,,"Food, Nightlife, Restaurants, Bars, Seafood",Food,, Nightlife, Restaurants, Bars, Seafood,,,,,,,,,,,,,,,,,,,
Beer Nutz Beer Distributor,94 Allegheny River Blvd,Verona,PA,15147,40.49761973,-79.84495954,2.5,3,1,TRUE,3,,,,,,"Beer, Wine & Spirits, Food",Beer,, Wine , Spirits, Food,,,,,,,,,,,,,,,,,,,,
Mineo's Pizza House,2128 Murray Ave,Pittsburgh,PA,15217,40.4328604,-79.9232273,3.5,277,1,FALSE,1,beer_and_wine,no,,TRUE,,"Restaurants, Ice Cream & Frozen Yogurt, Desserts, Food, Pizza, Italian",Restaurants,, Ice Cream , Frozen Yogurt, Desserts, Food, Pizza, Italian,,,,,,,,,,,,,,,,,
Panera Bread,400 Penn Center Blvd,Pittsburgh,PA,15235,40.42909117,-79.81300324,2.5,17,1,TRUE,1,none,free,,,,"Soup, Bagels, Sandwiches, Restaurants, Salad, Breakfast & Brunch, Food",Soup,, Bagels, Sandwiches, Restaurants, Salad, Breakfast , Brunch, Food,,,,,,,,,,,,,,,,
Popeyes Louisiana Kitchen,3616 5th Ave,Pittsburgh,PA,15213,40.4415369,-79.958418,2,27,1,TRUE,1,none,no,,,,"Chicken Wings, American (Traditional), Restaurants, Fast Food",Chicken Wings,, American (Traditional), Restaurants, Fast Food,,,,,,,,,,,,,,,,,,,,
Erik's Hauling And Moving,,West Mifflin,PA,15122,40.360514,-79.907714,4.5,10,1,TRUE,,,,,,,"Local Services, Junk Removal & Hauling, Home Services, Movers",Local Services,, Junk Removal , Hauling, Home Services, Movers,,,,,,,,,,,,,,,,,,,
Mugshots Cafe,25 Walsh Rd,Pittsburgh,PA,15205,40.4391056,-80.0711385,3,10,1,TRUE,1,full_bar,no,,,,"Chicken Wings, American (Traditional), Bars, Restaurants, Nightlife",Chicken Wings,, American (Traditional), Bars, Restaurants, Nightlife,,,,,,,,,,,,,,,,,,,
Fox's Pizza Den,710 Broadway,Pitcairn,PA,15140,40.4023147,-79.7748751,3.5,6,1,TRUE,2,,,,,,"Sandwiches, Restaurants, Pizza",Sandwiches,, Restaurants, Pizza,,,,,,,,,,,,,,,,,,,,,
Walker's Pub,2024 Sarah St,Pittsburgh,PA,15203,40.4274522,-79.9767288,3.5,5,1,FALSE,4,full_bar,,,,,"Bars, Restaurants, Dive Bars, Nightlife",Bars,, Restaurants, Dive Bars, Nightlife,,,,,,,,,,,,,,,,,,,,
Johnny's,112 Westinghouse Ave,Wilmerding,PA,15148,40.3927887,-79.8100605,3.5,17,1,TRUE,2,full_bar,no,,TRUE,,"Soup, Italian, Restaurants, Salad, American (Traditional)",Soup,, Italian, Restaurants, Salad, American (Traditional),,,,,,,,,,,,,,,,,,,
Mechanic Coffee,707 East Railroad Ave,Verona,PA,15147,40.505161,-79.84395,4.5,19,1,TRUE,1,,free,,,,"Coffee & Tea, Food",Coffee ,, Tea, Food,,,,,,,,,,,,,,,,,,,,,
Springdale Floral And Gift,902 Pittsburgh St,Springdale,PA,15144,40.54132,-79.777539,4,5,1,TRUE,2,,,,,,"Florists, Wedding Planning, Event Planning & Services, Shopping, Flowers & Gifts",Florists,, Wedding Planning, Event Planning , Services, Shopping, Flowers , Gifts,,,,,,,,,,,,,,,,,
Rita's Italian Ice,1175 Freeport Rd,Pittsburgh,PA,15238,40.4882642,-79.8797105,3.5,4,1,TRUE,1,,no,,TRUE,,"Food, Desserts, Shaved Ice, Ice Cream & Frozen Yogurt",Food,, Desserts, Shaved Ice, Ice Cream , Frozen Yogurt,,,,,,,,,,,,,,,,,,,
Subway,4613 Centre Ave,Pittsburgh,PA,15213,40.4522058,-79.9515557,2,8,1,TRUE,1,,,,,,"Sandwiches, Restaurants, Fast Food",Sandwiches,, Restaurants, Fast Food,,,,,,,,,,,,,,,,,,,,,
Squirrel Hill Physical Therapy Center,1154 Greenfield Ave,Pittsburgh,PA,15217,40.419915,-79.9294174,2.5,3,1,,,,,,,TRUE,"Health & Medical, Physical Therapy",Health ,, Medical, Physical Therapy,,,,,,,,,,,,,,,,,,,,,
Best Grocery Delivery,114 Clinton Lake Rd,clinton,PA,15026,40.4936763,-80.2930393,5,16,1,TRUE,2,,,,FALSE,,"Food, Food Delivery Services",Food,, Food Delivery Services,,,,,,,,,,,,,,,,,,,,,,
Rosenberg Accountancy,"5725 Forward Ave, Ste 400",Pittsburgh,PA,15217,40.429454,-79.9242666,5,3,1,,,,,,,,"Accountants, Professional Services",Accountants,, Professional Services,,,,,,,,,,,,,,,,,,,,,,
Lokay Lanes,2127 Mosside Blvd,Monroeville,PA,15146,40.3992783,-79.7683503,2.5,4,1,TRUE,,,,,,,"Bowling, Arcades, Active Life, Food, Arts & Entertainment, Beer, Wine & Spirits",Bowling,, Arcades, Active Life, Food, Arts , Entertainment, Beer, Wine , Spirits,,,,,,,,,,,,,,,
Vogt True Value Hardware,1308 E Carson St,Pittsburgh,PA,15203,40.4285857,-79.984867,3.5,7,1,TRUE,1,,,,,,"Home & Garden, Hardware Stores, Shopping",Home ,, Garden, Hardware Stores, Shopping,,,,,,,,,,,,,,,,,,,,
US Post Office,"1025 Hay St Ste A, Ste A",Pittsburgh,PA,15221,40.4447263,-79.8857764,1.5,3,1,,,,,,,,"Local Services, Shipping Centers, Public Services & Government, Post Offices",Local Services,, Shipping Centers, Public Services , Government, Post Offices,,,,,,,,,,,,,,,,,,,
