NAME,ADDRESS,CITY,STATE,ZIPCODE,LAT,LONG,STARS,REVIEW_COUNT,IS_OPEN,ACCEPTS_CREDITCARD,PRICE_RANGE,ALCOHOL,WIFI,DOGS_ALLOWED,WHEELCHAIR_ACCESS,APPOINTMENT_ONLY,CATEGORIES,CATEGORY1,CATEGORY2,CATEGORY3,CATEGORY4,CATEGORY5,CATEGORY6,CATEGORY7,CATEGORY8,CATEGORY9,CATEGORY10,CATEGORY11,CATEGORY12,CATEGORY13,CATEGORY14,CATEGORY15,CATEGORY16,,,,
Timeout Pizza Pub & Grub,775 Freeport Rd,Cheswick,PA,15024,40.541278,-79.818972,2,5,0,TRUE,2,full_bar,no,,,,"Pizza, Restaurants, Barbeque",Pizza, Restaurants, Barbeque,,,,,,,,,,,,,,,,,
Go Pretzel,807 Liberty Ave,Pittsburgh,PA,15222,40.4426692,-79.998918,3.5,13,0,TRUE,1,none,,,,,"Fast Food, Restaurants",Fast Food, Restaurants,,,,,,,,,,,,,,,,,,
Steel Cactus,115 Federal St,Pittsburgh,PA,15212,40.44758122,-80.00436023,2.5,65,1,TRUE,2,,free,,,,"Mexican, Tex-Mex, Restaurants, Beer Bar, Bars, Nightlife",Mexican, Tex-Mex, Restaurants, Beer Bar, Bars, Nightlife,,,,,,,,,,,,,,
Robert Wholey and Co Fish Market,1711 Penn Ave,Pittsburgh,PA,15222,40.450111,-79.9858749,4,210,1,TRUE,2,none,no,FALSE,TRUE,FALSE,"Meat Shops, Seafood, Grocery, Specialty Food, Seafood Markets, Food, Restaurants",Meat Shops, Seafood, Grocery, Specialty Food, Seafood Markets, Food, Restaurants,,,,,,,,,,,,,
Bull River Taco,1707 Murray Ave,Pittsburgh,PA,15217,40.4377293,-79.9227349,3.5,60,1,TRUE,1,none,no,,,,"Tacos, Mexican, Restaurants",Tacos, Mexican, Restaurants,,,,,,,,,,,,,,,,,
DiBella's Subs,6501 Steubenville Pike,Pittsburgh,PA,15205,40.447998,-80.15871629,4,31,1,TRUE,1,none,free,,,,"Sandwiches, Delis, Restaurants, Salad",Sandwiches, Delis, Restaurants, Salad,,,,,,,,,,,,,,,,
Union Standard,524 William Penn Pl,Pittsburgh,PA,15219,40.4404227,-79.9972048,4,117,1,TRUE,3,full_bar,free,FALSE,TRUE,,"Seafood, Cocktail Bars, Nightlife, Restaurants, Bars, American (New)",Seafood, Cocktail Bars, Nightlife, Restaurants, Bars, American (New),,,,,,,,,,,,,,
Pizzarita,580 Burchfield Rd,Allison Park,PA,15101,40.5445287,-79.9628682,3,10,1,TRUE,1,none,free,FALSE,TRUE,,"Restaurants, Pizza",Restaurants, Pizza,,,,,,,,,,,,,,,,,,
Smoq Pitt,600 Brookline Blvd,Pittsburgh,PA,15226,40.3951787,-80.0225039,3.5,85,0,TRUE,2,none,free,,TRUE,,"Barbeque, Restaurants",Barbeque, Restaurants,,,,,,,,,,,,,,,,,,
Sirena Taco Joint & Bar,"3909 Washington Rd, Ste 201",McMurray,PA,15317,40.27116,-80.125909,3,65,0,TRUE,2,full_bar,free,FALSE,TRUE,,"Mexican, Latin American, Spanish, Restaurants, Nightlife, Bars",Mexican, Latin American, Spanish, Restaurants, Nightlife, Bars,,,,,,,,,,,,,,
Outback Steakhouse,3000 Mosside Blvd,Monroeville,PA,15146,40.4383875,-79.7593976,3,68,1,TRUE,2,full_bar,free,,TRUE,,"Restaurants, Steakhouses",Restaurants, Steakhouses,,,,,,,,,,,,,,,,,,
La Nova Pizzeria,835 Pittsburgh St,Springdale,PA,15144,40.5414597,-79.778639,4,18,1,TRUE,2,,no,,,,"Pizza, Restaurants",Pizza, Restaurants,,,,,,,,,,,,,,,,,,
Walnut Grove,1141 Freeport Rd,Pittsburgh,PA,15238,40.4884107,-79.8809619,3,17,0,,2,full_bar,paid,,,,"Restaurants, American (New)",Restaurants, American (New),,,,,,,,,,,,,,,,,,
Il Mercato,2349 Railroad St,Pittsburgh,PA,15222,40.4543526,-79.9828179,3.5,3,0,TRUE,2,,,,TRUE,,"Food, Nightlife, Restaurants, Bars, Seafood",Food, Nightlife, Restaurants, Bars, Seafood,,,,,,,,,,,,,,,
Mineo's Pizza House,2128 Murray Ave,Pittsburgh,PA,15217,40.4328604,-79.9232273,3.5,277,1,FALSE,1,beer_and_wine,no,,TRUE,,"Restaurants, Ice Cream & Frozen Yogurt, Desserts, Food, Pizza, Italian",Restaurants, Ice Cream , Frozen Yogurt, Desserts, Food, Pizza, Italian,,,,,,,,,,,,,
Panera Bread,400 Penn Center Blvd,Pittsburgh,PA,15235,40.42909117,-79.81300324,2.5,17,1,TRUE,1,none,free,,,,"Soup, Bagels, Sandwiches, Restaurants, Salad, Breakfast & Brunch, Food",Soup, Bagels, Sandwiches, Restaurants, Salad, Breakfast , Brunch, Food,,,,,,,,,,,,
Popeyes Louisiana Kitchen,3616 5th Ave,Pittsburgh,PA,15213,40.4415369,-79.958418,2,27,1,TRUE,1,none,no,,,,"Chicken Wings, American (Traditional), Restaurants, Fast Food",Chicken Wings, American (Traditional), Restaurants, Fast Food,,,,,,,,,,,,,,,,
Mugshots Cafe,25 Walsh Rd,Pittsburgh,PA,15205,40.4391056,-80.0711385,3,10,1,TRUE,1,full_bar,no,,,,"Chicken Wings, American (Traditional), Bars, Restaurants, Nightlife",Chicken Wings, American (Traditional), Bars, Restaurants, Nightlife,,,,,,,,,,,,,,,
Fox's Pizza Den,710 Broadway,Pitcairn,PA,15140,40.4023147,-79.7748751,3.5,6,1,TRUE,2,,,,,,"Sandwiches, Restaurants, Pizza",Sandwiches, Restaurants, Pizza,,,,,,,,,,,,,,,,,
Walker's Pub,2024 Sarah St,Pittsburgh,PA,15203,40.4274522,-79.9767288,3.5,5,1,FALSE,4,full_bar,,,,,"Bars, Restaurants, Dive Bars, Nightlife",Bars, Restaurants, Dive Bars, Nightlife,,,,,,,,,,,,,,,,
Johnny's,112 Westinghouse Ave,Wilmerding,PA,15148,40.3927887,-79.8100605,3.5,17,1,TRUE,2,full_bar,no,,TRUE,,"Soup, Italian, Restaurants, Salad, American (Traditional)",Soup, Italian, Restaurants, Salad, American (Traditional),,,,,,,,,,,,,,,
Subway,4613 Centre Ave,Pittsburgh,PA,15213,40.4522058,-79.9515557,2,8,1,TRUE,1,,,,,,"Sandwiches, Restaurants, Fast Food",Sandwiches, Restaurants, Fast Food,,,,,,,,,,,,,,,,,
Hook Fish & Chicken,11644 Frankstown Rd,Pittsburgh,PA,15235,40.4652145,-79.8272067,3,9,1,FALSE,1,none,no,FALSE,TRUE,,"Seafood, Restaurants, Fish & Chips",Seafood, Restaurants, Fish , Chips,,,,,,,,,,,,,,,,
Five Guys,4899 William Penn Hwy,Murrysville,PA,15668,40.421954,-79.6615748,4,7,1,TRUE,2,none,no,,,,"American (New), Restaurants, Fast Food, Burgers",American (New), Restaurants, Fast Food, Burgers,,,,,,,,,,,,,,,,
LongHorn Steakhouse,200 Robinson Center Dr,Pittsburgh,PA,15205,40.45140258,-80.16183143,3.5,45,1,TRUE,2,full_bar,free,FALSE,TRUE,,"Barbeque, Steakhouses, Restaurants, American (Traditional)",Barbeque, Steakhouses, Restaurants, American (Traditional),,,,,,,,,,,,,,,,
Fireside Inn,4214 Steubenville Pike,Pittsburgh,PA,15205,40.43990905,-80.08915266,4,10,1,TRUE,2,full_bar,no,,,,"Sports Bars, Restaurants, Nightlife, Fish & Chips, American (New), Bars",Sports Bars, Restaurants, Nightlife, Fish , Chips, American (New), Bars,,,,,,,,,,,,,
Pizza Romano,219 Atwood St,Pittsburgh,PA,15213,40.44064864,-79.95707776,2.5,29,1,TRUE,1,none,no,FALSE,,,"Italian, Desserts, Pizza, Restaurants, Food",Italian, Desserts, Pizza, Restaurants, Food,,,,,,,,,,,,,,,
Loafers Bread Co,1153 Freeport Rd,Pittsburgh,PA,15238,40.48842371,-79.88054509,4,8,1,TRUE,1,none,no,,,,"Bakeries, Food, Cafes, Restaurants",Bakeries, Food, Cafes, Restaurants,,,,,,,,,,,,,,,,
Pad Thai Express,4422 Bigelow Blvd,Pittsburgh,PA,15213,40.4444668,-79.9548644,3.5,3,1,FALSE,1,none,no,,,,"Food Trucks, Food, Restaurants, Thai",Food Trucks, Food, Restaurants, Thai,,,,,,,,,,,,,,,,
Little Tokyo Bistro,2122 E Carson St,Pittsburgh,PA,15203,40.4281973,-79.9753305,4,115,1,TRUE,2,beer_and_wine,no,,TRUE,,"Korean, Restaurants, Sushi Bars, Japanese",Korean, Restaurants, Sushi Bars, Japanese,,,,,,,,,,,,,,,,
Mt. Nebo Pizza Roma,1520 Mt Nebo Rd,Sewickley,PA,15143,40.553157,-80.106102,2.5,16,1,FALSE,2,none,no,,,,"Restaurants, Pizza",Restaurants, Pizza,,,,,,,,,,,,,,,,,,
Olive Oil's Pizzeria,930 Brookline Blvd,Pittsburgh,PA,15226,40.3922727,-80.0184324,3,9,1,TRUE,1,,,,,,"Pizza, Restaurants",Pizza, Restaurants,,,,,,,,,,,,,,,,,,
Szmidt's Old World Deli,957 Liberty Ave,Pittsburgh,PA,15222,40.4434132,-79.9961509,4.5,22,0,TRUE,2,none,free,,TRUE,,"Restaurants, Delis",Restaurants, Delis,,,,,,,,,,,,,,,,,,
My Big Fat Greek Gyro,431 Market St,Pittsburgh,PA,15222,40.4411343,-80.0026106,3,23,0,TRUE,1,none,,,,,"Greek, Restaurants",Greek, Restaurants,,,,,,,,,,,,,,,,,,
The Simple Greek,431 Market St,Pittsburgh,PA,15222,40.4411266,-80.0025216,3.5,69,1,TRUE,1,,,,,,"Restaurants, Greek",Restaurants, Greek,,,,,,,,,,,,,,,,,,
BurghBurgers,3536 Saw Mill Run Blvd,Pittsburgh,PA,15227,40.3723038,-79.982203,4,9,1,TRUE,,,,,,,"Ice Cream & Frozen Yogurt, Restaurants, Chicken Shop, Burgers, Food",Ice Cream , Frozen Yogurt, Restaurants, Chicken Shop, Burgers, Food,,,,,,,,,,,,,,
Pizza Bistro,1625 Pennsylvania Ave,West Mifflin,PA,15122,40.361845,-79.858549,3.5,3,1,TRUE,,,,,,,"Restaurants, Salad, Pizza, Chicken Wings",Restaurants, Salad, Pizza, Chicken Wings,,,,,,,,,,,,,,,,
Lindos Restaurant,947 Western Ave,Pittsburgh,PA,15233,40.4514362,-80.0183074,3.5,46,1,TRUE,1,none,no,FALSE,FALSE,,"Burgers, Breakfast & Brunch, Restaurants, Diners, Sandwiches, Food, Coffee & Tea, Greek",Burgers, Breakfast , Brunch, Restaurants, Diners, Sandwiches, Food, Coffee , Tea, Greek,,,,,,,,,,
Defelice's Deli,3134 Millers Run Rd,Cecil,PA,15321,40.3217042,-80.1993564,3.5,7,1,TRUE,2,,,,,,"Delis, Restaurants",Delis, Restaurants,,,,,,,,,,,,,,,,,,
Smokey Bones Bar & Fire Grill,6050 Robinson Ctr,Robinson Township,PA,15205,40.45063745,-80.16058595,3.5,77,1,TRUE,2,full_bar,free,,,,"Restaurants, Burgers, American (Traditional), Barbeque",Restaurants, Burgers, American (Traditional), Barbeque,,,,,,,,,,,,,,,,
"Or, The Whale",463 Blvd of the Allies,Pittsburgh,PA,15219,40.437299,-79.9984685,4,155,1,TRUE,2,full_bar,free,,,,"Seafood, Breakfast & Brunch, Nightlife, Restaurants, Bars, American (Traditional)",Seafood, Breakfast , Brunch, Nightlife, Restaurants, Bars, American (Traditional),,,,,,,,,,,,,
Penn Station East Coast Subs,808 Liberty Ave,Pittsburgh,PA,15222,40.4425142,-79.9987478,3,27,1,TRUE,1,none,no,,,,"American (Traditional), Restaurants, Sandwiches, Cheesesteaks",American (Traditional), Restaurants, Sandwiches, Cheesesteaks,,,,,,,,,,,,,,,,
Madres Mexican,200 Monroeville Mall,Monroeville,PA,15146,40.4291832,-79.7954593,2.5,7,0,TRUE,1,,,,,,"Mexican, Restaurants",Mexican, Restaurants,,,,,,,,,,,,,,,,,,
Dairy Queen,169 Jamison Ln,Monroeville,PA,15146,40.42774182,-79.78857979,4.5,4,1,TRUE,1,,,,,,"Restaurants, Food, Ice Cream & Frozen Yogurt, Fast Food",Restaurants, Food, Ice Cream , Frozen Yogurt, Fast Food,,,,,,,,,,,,,,,
Danny's Pizza,4851 Clairton Blvd,Pittsburgh,PA,15236,40.3499998,-79.9763527,4,18,1,TRUE,1,none,no,,,,"Restaurants, Pizza",Restaurants, Pizza,,,,,,,,,,,,,,,,,,
Emil's Lounge,414 Hawkins Ave,Braddock,PA,15104,40.413709,-79.880269,4.5,42,1,TRUE,2,full_bar,no,,,,"American (New), Sandwiches, Bars, Nightlife, Restaurants, Lounges",American (New), Sandwiches, Bars, Nightlife, Restaurants, Lounges,,,,,,,,,,,,,,
Living Juicy,5892 Ellsworth Ave,Pittsburgh,PA,15232,40.4580184,-79.9275787,4.5,13,0,TRUE,1,,free,,,,"Restaurants, Juice Bars & Smoothies, Food, Cafes",Restaurants, Juice Bars , Smoothies, Food, Cafes,,,,,,,,,,,,,,,
Wendy's,113 Cavasina Dr,Canonsburg,PA,15317,40.2634088,-80.1738737,2,6,1,TRUE,1,,free,,,,"Restaurants, Burgers, Fast Food",Restaurants, Burgers, Fast Food,,,,,,,,,,,,,,,,,
Donte's Pizzeria,6409 Brownsville Rd,Pittsburgh,PA,15236,40.31836,-79.9958954,4.5,38,1,TRUE,1,none,free,,TRUE,,"Restaurants, Pizza",Restaurants, Pizza,,,,,,,,,,,,,,,,,,
The Summit,200 Shiloh St,Pittsburgh,PA,15211,40.43071171,-80.00749105,4.5,121,1,TRUE,2,full_bar,free,FALSE,FALSE,,"Nightlife, Restaurants, Lounges, Wine Bars, Bars, Pubs, Cocktail Bars, American (New)",Nightlife, Restaurants, Lounges, Wine Bars, Bars, Pubs, Cocktail Bars, American (New),,,,,,,,,,,,
Bella Donne Pizza,461 Perry Hwy,Pittsburgh,PA,15229,40.5203048,-80.0328622,2.5,3,0,,,,,,,,"Pizza, Restaurants",Pizza, Restaurants,,,,,,,,,,,,,,,,,,
La Feria,5527 Walnut St,Pittsburgh,PA,15232,40.451707,-79.9328251,4,94,1,TRUE,2,none,no,,FALSE,,"Peruvian, Latin American, Restaurants",Peruvian, Latin American, Restaurants,,,,,,,,,,,,,,,,,
Cafe Zinho,238 Spahr St,Pittsburgh,PA,15232,40.4578271,-79.9275319,4,80,1,FALSE,2,none,no,,TRUE,,"Restaurants, Mediterranean, Portuguese",Restaurants, Mediterranean, Portuguese,,,,,,,,,,,,,,,,,
Salud,4517 Butler St,Pittsburgh,PA,15201,40.472751,-79.959173,4,41,0,TRUE,2,full_bar,free,,,,"Bars, Nightlife, Restaurants, Cuban",Bars, Nightlife, Restaurants, Cuban,,,,,,,,,,,,,,,,
Wendy's,2280 Lebanon Church Rd,West Mifflin,PA,15122,40.3484629,-79.9428923,3,4,1,TRUE,1,none,,,,,"Fast Food, Burgers, Restaurants",Fast Food, Burgers, Restaurants,,,,,,,,,,,,,,,,,
BD's Mongolian Grill,428 S 27th St,Pittsburgh,PA,15203,40.4282695,-79.9657172,3.5,150,1,TRUE,2,full_bar,free,FALSE,TRUE,,"Restaurants, Mongolian, Asian Fusion, Do-It-Yourself Food, Food",Restaurants, Mongolian, Asian Fusion, Do-It-Yourself Food, Food,,,,,,,,,,,,,,,
Universal Pizza,2558 Main St,Penn Hills,PA,15235,40.4718347,-79.7874399,2.5,9,1,TRUE,1,none,no,,,,"Restaurants, Pizza, Italian",Restaurants, Pizza, Italian,,,,,,,,,,,,,,,,,
Skyvue Restaurant,3230 Lebanon Church Rd,West Mifflin,PA,15122,40.3506026,-79.9231448,3.5,38,1,TRUE,2,full_bar,,,,,"Sandwiches, Steakhouses, American (Traditional), Restaurants",Sandwiches, Steakhouses, American (Traditional), Restaurants,,,,,,,,,,,,,,,,
Finn McCools,1501 E Carson St,Pittsburgh,PA,15203,40.4289137,-79.9833396,3,14,1,TRUE,,,no,,,,"American (New), Restaurants",American (New), Restaurants,,,,,,,,,,,,,,,,,,
El Milagro,1542 Beechview Ave,Pittsburgh,PA,15216,40.411087,-80.025049,4.5,45,0,TRUE,2,none,no,,,,"Latin American, Mexican, Restaurants",Latin American, Mexican, Restaurants,,,,,,,,,,,,,,,,,
Ephesus Mediterranean Kitchen,219 Fourth Ave,Pittsburgh,PA,15222,40.4399009,-80.0023653,3.5,111,1,TRUE,2,none,no,FALSE,TRUE,,"Restaurants, Food, Mediterranean, Food Delivery Services, Pizza",Restaurants, Food, Mediterranean, Food Delivery Services, Pizza,,,,,,,,,,,,,,,
Cavo Nightclub,1916 Smallman St,Pittsburgh,PA,15222,40.4515167,-79.9849613,4,53,1,TRUE,2,full_bar,no,,,,"Lounges, Restaurants, Nightlife, American (New), Bars, Sandwiches",Lounges, Restaurants, Nightlife, American (New), Bars, Sandwiches,,,,,,,,,,,,,,
El Campesino,11978 Perry Hwy,Wexford,PA,15090,40.6329702,-80.0590945,3,17,0,TRUE,2,full_bar,no,,,,"Mexican, Restaurants",Mexican, Restaurants,,,,,,,,,,,,,,,,,,
Mediterranio Pizzeria,245 Lancaster Ave,Frazer,PA,19355,40.04061,-75.543159,4,4,1,,1,,,,,,"Restaurants, Pizza",Restaurants, Pizza,,,,,,,,,,,,,,,,,,
Bruegger's Bagels,1719 Murray Ave,Pittsburgh,PA,15217,40.437442,-79.9228098,2.5,16,1,TRUE,1,,,,,,"Bakeries, Sandwiches, Restaurants, Food, Bagels, Breakfast & Brunch",Bakeries, Sandwiches, Restaurants, Food, Bagels, Breakfast , Brunch,,,,,,,,,,,,,
Colonial Grille,333 Main St,Irwin,PA,15642,40.3321043,-79.710616,4,30,1,TRUE,2,full_bar,free,,,,"Restaurants, American (Traditional), Chicken Wings",Restaurants, American (Traditional), Chicken Wings,,,,,,,,,,,,,,,,,
Lucca,317 S Craig St,Pittsburgh,PA,15213,40.4451653,-79.9485397,3.5,106,1,TRUE,2,full_bar,no,,,,"Restaurants, Italian, Seafood",Restaurants, Italian, Seafood,,,,,,,,,,,,,,,,,
Subway,4028 Beechwood Blvd,Pittsburgh,PA,15217,40.4271791,-79.9377642,4,3,1,TRUE,1,none,,,TRUE,,"Restaurants, Sandwiches, Fast Food",Restaurants, Sandwiches, Fast Food,,,,,,,,,,,,,,,,,
The Coffee Tree Roasters,5524 Walnut St,Pittsburgh,PA,15232,40.4512442,-79.9327342,3.5,121,1,TRUE,1,,free,,TRUE,,"Coffee & Tea, Coffee Roasteries, Restaurants, Food, Cafes",Coffee , Tea, Coffee Roasteries, Restaurants, Food, Cafes,,,,,,,,,,,,,,
Union Grill,413 S Craig St,Pittsburgh,PA,15213,40.4448085,-79.9484522,4,328,1,TRUE,2,full_bar,no,,TRUE,,"Restaurants, American (Traditional)",Restaurants, American (Traditional),,,,,,,,,,,,,,,,,,
Franks Pizza & Chicken,641 North Ave,Millvale,PA,15209,40.4867289,-79.973769,4,22,1,TRUE,2,none,no,TRUE,FALSE,,"Restaurants, Chicken Wings, Italian, Pizza",Restaurants, Chicken Wings, Italian, Pizza,,,,,,,,,,,,,,,,
Vocelli Pizza,201 Allegheny Ave,Oakmont,PA,15139,40.5142189,-79.8439918,2.5,3,1,TRUE,1,none,no,,,,"Pizza, Restaurants, Italian",Pizza, Restaurants, Italian,,,,,,,,,,,,,,,,,
Big Shot Bob's House of Wings - South Side,1324 E Carson St,Pittsburgh,PA,15203,40.4286261,-79.9842573,4,26,1,TRUE,2,none,no,FALSE,TRUE,,"Chicken Wings, Restaurants, Burgers, Sandwiches",Chicken Wings, Restaurants, Burgers, Sandwiches,,,,,,,,,,,,,,,,
Cafe Vita,424 Allegheny River Blvd,Oakmont,PA,15139,40.51705,-79.842555,4,7,0,TRUE,,,no,,,,"Restaurants, Italian, Cafes",Restaurants, Italian, Cafes,,,,,,,,,,,,,,,,,
Pizza Bosa,741 Fifth Ave,Pittsburgh,PA,15219,40.43891275,-79.99399379,3,22,1,TRUE,2,none,no,,,,"Italian, Restaurants, Pizza",Italian, Restaurants, Pizza,,,,,,,,,,,,,,,,,
la Cappella,1041 Freeport Rd,Pittsburgh,PA,15238,40.48818638,-79.88544064,3,43,0,TRUE,2,full_bar,free,FALSE,TRUE,,"Bars, Pizza, Restaurants, Food, Italian, Fast Food, American (Traditional), Nightlife, Beer, Wine & Spirits",Bars, Pizza, Restaurants, Food, Italian, Fast Food, American (Traditional), Nightlife, Beer, Wine , Spirits,,,,,,,,,
Houlihan's Mt. Lebanon,1500 Washington Rd,Pittsburgh,PA,15228,40.3570036,-80.051746,3.5,65,1,TRUE,2,full_bar,no,,FALSE,,"Bars, American (New), Restaurants, Nightlife",Bars, American (New), Restaurants, Nightlife,,,,,,,,,,,,,,,,
Benihana,2100 Greentree Rd,Pittsburgh,PA,15220,40.3921633,-80.0702316,3,73,1,TRUE,3,full_bar,no,FALSE,TRUE,,"Restaurants, Sushi Bars, Japanese, Nightlife",Restaurants, Sushi Bars, Japanese, Nightlife,,,,,,,,,,,,,,,,
Kings,155 McMurray Road,Pittsburgh,PA,15241,40.3253415,-80.0649737,2.5,18,1,TRUE,1,none,no,,,,"American (Traditional), Burgers, Restaurants, Breakfast & Brunch",American (Traditional), Burgers, Restaurants, Breakfast , Brunch,,,,,,,,,,,,,,,
Pino's Contemporary Italian Restaurant & Wine Bar,6738 Reynolds St,Pittsburgh,PA,15206,40.4502491,-79.9145149,3,89,1,TRUE,2,full_bar,no,,TRUE,,"Restaurants, Tapas/Small Plates, Italian",Restaurants, Tapas/Small Plates, Italian,,,,,,,,,,,,,,,,,
Pittsburgh Sandwich Society,,Pittsburgh,PA,15205,40.4417703,-80.0870155,4.5,16,1,TRUE,2,none,no,TRUE,,,"Food Trucks, Food, Restaurants, Sandwiches",Food Trucks, Food, Restaurants, Sandwiches,,,,,,,,,,,,,,,,
Pirollo's Delicatessen & Take-Out,307 Hulton Rd,Pittsburgh,PA,15235,40.489745,-79.819482,5,6,1,,,,,,,,"Restaurants, Food, Grocery, Fast Food",Restaurants, Food, Grocery, Fast Food,,,,,,,,,,,,,,,,
Star of India,412 S Craig St,Pittsburgh,PA,15213,40.4448167,-79.9489713,3.5,18,0,TRUE,2,beer_and_wine,,,TRUE,,"Indian, Pakistani, Restaurants",Indian, Pakistani, Restaurants,,,,,,,,,,,,,,,,,
Yu's Old Town Buffet,591 Clairton Blvd,Pleasant Hills,PA,15236,40.3326499,-79.9460512,3.5,10,0,TRUE,2,none,no,,TRUE,,"Restaurants, Buffets",Restaurants, Buffets,,,,,,,,,,,,,,,,,,
Alma Pan-Latin Kitchen,7606 Forbes Ave,Pittsburgh,PA,15221,40.43958624,-79.89751605,4,58,0,TRUE,2,full_bar,no,,TRUE,,"Latin American, Restaurants, Vegetarian, Tapas/Small Plates",Latin American, Restaurants, Vegetarian, Tapas/Small Plates,,,,,,,,,,,,,,,,
Blue Sparrow Food Truck,3800 Butler St,Pittsburgh,PA,15201,40.4667702,-79.9640557,5,27,1,TRUE,1,none,no,,,,"Food Trucks, Restaurants, American (New), Food",Food Trucks, Restaurants, American (New), Food,,,,,,,,,,,,,,,,
Pazzo Ristorante,1535 Washington Rd,Pittsburgh,PA,15228,40.3560807,-80.0503427,3,4,0,TRUE,2,full_bar,,,,,"Italian, Restaurants",Italian, Restaurants,,,,,,,,,,,,,,,,,,
Kous Kous Cafe,665 Washington Rd,Pittsburgh,PA,15228,40.381418,-80.04418,4.5,56,0,TRUE,2,none,no,,TRUE,,"Restaurants, Moroccan",Restaurants, Moroccan,,,,,,,,,,,,,,,,,,
Schatz Dining Hall,5032 Forbes Ave,Pittsburgh,PA,15213,40.443081,-79.942568,3.5,10,1,TRUE,1,none,free,,TRUE,,"Buffets, Restaurants",Buffets, Restaurants,,,,,,,,,,,,,,,,,,
Park Bruges,5801 Bryant St,Pittsburgh,PA,15206,40.4761593,-79.9205658,4,270,1,TRUE,2,full_bar,no,,,,"Belgian, Restaurants",Belgian, Restaurants,,,,,,,,,,,,,,,,,,
